id,name,dance_type_id,dance_class,predefined,alternative_timing,starting_foot_leader,ending_foot_leader,starting_foot_follower,ending_foot_follower,starting_position,ending_position,preceding_figure_names,following_figure_names
d74be591-10a5-4706-97e3-50f7d7fa1acc,Maypole (Continuous Volta Spot Turn to R and L),e182e966-64b2-4aaa-9909-da1aceaed6ba,F,true,,,,,,,,"Criss Cross Bota Fogos (Shadow Bota Fogos), Criss Cross Voltas, Maypole, Natural Basic Movement, Reverse Basic Movement, Samba Locks, Samba Walk: Side, Samba Walk: Stationary, Side Basic Movement","Reverse Turn (Man turning R in Maypole), Whisk To Left (Man turning R in Maypole), Cruzados Walks and Locks (when Man is turning left in Maypole; or when Man is turning right in Maypole), Samba Locks (when Man is turning left in Maypole; or when Man is turning right in Maypole), Promenade And Counter Promenade Runs (when Man is turning left in Maypole; or when Man is turning right in Maypole), Natural Roll (when Man is turning left in Maypole; or when Man is turning right in Maypole), Round About (when Man is turning left in Maypole; or when Man is turning right in Maypole), Contra Bota Fogos (when Man is turning left in Maypole; or when Man is turning right in Maypole), Shadow Circular Volta with RF (when Man is turning left in Maypole; or when Man is turning right in Maypole), Maypole (when Man is turning left in Maypole; or when Man is turning right in Maypole), Plait (when Man is turning left in Maypole; or when Man is turning right in Maypole), Back Rocks (when Man is turning left in Maypole; or when Man is turning right in Maypole), Open Rocks (when Man is turning left in Maypole; or when Man is turning right in Maypole), Closed Rocks (when Man is turning left in Maypole; or when Man is turning right in Maypole), Corta Jaca (when Man is turning left in Maypole; or when Man is turning right in Maypole), Shadow Traveling Volta commenced with RF (when Man is turning left in Maypole; or when Man is turning right in Maypole), Solo Spot Volta to Right (Lady to Left) (when Man is turning left in Maypole; or when Man is turning right in Maypole), Criss Cross Voltas (when Man is turning left in Maypole; or when Man is turning right in Maypole), Traveling Bota Fogos Back (when Man is turning left in Maypole; or when Man is turning right in Maypole), Traveling Bota Fogos Forward (when Man is turning left in Maypole; or when Man is turning right in Maypole), Traveling Volta to Left (when Man is turning left in Maypole; or when Man is turning right in Maypole), Rhythm Bounce (when Man is turning left in Maypole; or when Man is turning right in Maypole), Samba Walk: Stationary (when Man is turning left in Maypole; or when Man is turning right in Maypole), Samba Walk: Side (when Man is turning left in Maypole; or when Man is turning right in Maypole), Samba Walk in PP: RF (when Man is turning left in Maypole; or when Man is turning right in Maypole), Whisk To Right (when Man is turning left in Maypole; or when Man is turning right in Maypole), Natural Basic Movement (when Man is turning left in Maypole; or when Man is turning right in Maypole), Side Basic Movement (when Man is turning left in Maypole; or when Man is turning right in Maypole), Progressive Basic Movement (when Man is turning left in Maypole; or when Man is turning right in Maypole)"
b5e83d8c-71f3-4eb0-a06b-eb1483b3f2dd,Open Rocks (to R and L),e182e966-64b2-4aaa-9909-da1aceaed6ba,F,true,,RF,LF,LF,RF,,,"Argentine Crosses, Closed Rocks, Maypole, Natural Basic Movement, Natural Roll, Reverse Basic Movement, Side Basic Movement","Argentine Crosses, Closed Rocks, Maypole, Natural Basic Movement, Natural Roll, Reverse Basic Movement, Side Basic Movement, Reverse Turn (Man 1/8 to L, Lady 1/4, regain normal hold), Reverse Roll, Three Step Turn, Man changes his hand shape (his LH horizontal to ground) to indicate changing to next figure and not continuing with the rocks., Natural Roll (after steps 1-6 of Open Rocks, Man 1/8 R, Lady 1/4.), Promenade And Counter Promenade Runs (starting with 7-9, continuing with 4-9.)"
142b8aa4-7879-4edf-a699-c3e9ff1cc6f0,Rhythm Bounce (on LF and RF),e182e966-64b2-4aaa-9909-da1aceaed6ba,H,true,,,,,,,,"Maypole, Natural Basic Movement, Promenade And Counter Promenade Runs, Reverse Basic Movement, Side Basic Movement","Traveling Volta to Left (Rhythm Bounce on LF followed by Traveling Volta to Left), Traveling Volta to Right (Rhythm Bounce on RF followed by Traveling Volta to Right)"
4e4fdcfc-c900-4b65-a4d5-12f1e3ccebc8,LF Closed Change,e5893ef5-b115-4685-bf38-04ead55743a3,H,true,,,,,,,,,
2057921c-c1a0-4773-b640-49d2dba7d4aa,Rolling of the Arm,e182e966-64b2-4aaa-9909-da1aceaed6ba,F,true,,LF,LF,RF,LF,,,"Criss Cross Bota Fogos (Shadow Bota Fogos), Criss Cross Voltas, Natural Basic Movement, Reverse Basic Movement, Side Basic Movement","Samba Walk in PP: LF, Whisk To Left (when finished with Closed Position), Reverse Turn (when finished with Closed Position), Foot Change 8: Right Side Position to Right Shadow Position"
9a260b88-c148-471b-b2ff-9c369b896504,Roundabout (to R and L),e182e966-64b2-4aaa-9909-da1aceaed6ba,F,true,,LF,LF,LF,LF,,,"Contra Bota Fogos, Foot Change 5: Promenade Postion to Right Contra Position, Maypole, Natural Basic Movement, Reverse Basic Movement, Round About, Side Basic Movement, Traveling Bota Fogos Forward","Contra Bota Fogos (Roundabout to R followed by LF Contra Bota Fogos, Roundabout to L followed by RF Contra Bota Fogos), Round About (Roundabout to R followed by Roundabout to L, Roundabout to L followed by Roundabout to R)"
b0d0d656-4ba8-4bb0-8f5b-c1da99dd5ebc,Open Impetus Turn,e5893ef5-b115-4685-bf38-04ead55743a3,H,true,,,,,,,,,
8d7f5ba6-45be-49d4-98a9-e8297063153f,Chasse from Promenade Position,e5893ef5-b115-4685-bf38-04ead55743a3,H,true,,,,,,,,"Back Whisk, Basic Weave, Contra Check, Fallaway Whisk, Open Impetus, Open Telemark, Outside Change, Turning Lock, Turning Lock to R, Weave From Promenade Position, Whisk","Natural Spin Turn, Natural Turn, Hesitation Change, Closed Wing"
a84f4057-96cd-46d4-bdcd-6044dd41ea37,Weave from PP (after Open Impetus Turn),e5893ef5-b115-4685-bf38-04ead55743a3,F,true,,,,,,,,"Back Whisk, Contra Check, Fallaway Whisk, Open Impetus, Open Telemark, Outside Change, Turning Lock, Turning Lock to R, Whisk","Natural Spin Turn, Natural Turn, Wing (when ended in PP), Left Whisk (when ended in PP), Chasse From Promenade Position (when ended in PP), Closed Wing, Cross Hesitation (when ended in PP)"
8b897c4b-b8d7-4590-a337-5322f0247444,RF Closed Change,e5893ef5-b115-4685-bf38-04ead55743a3,H,true,,,,,,,,,
