db_id,db_name,dance_style,db_level,is_updated,scraped_name,scraped_level,step_count,comment_count,url,parsed_file_path
82771f2c-d7f1-47a2-bba7-da518fb32ea7,Advanced Hip Twist,Cha Cha,Silver/Gold,No,,,,,,
68080492-79d3-4292-96f0-e11a0c1dfcbe,Aida,Cha Cha,Silver/Gold,No,,,,,,
df28a744-c022-4d5a-933a-68ed1c50191f,Aida (4 Endings),Cha Cha,Silver/Gold,Yes,Aida,Silver,6,2,https://www.dancecentral.info/ballroom/international-style/cha-cha-cha/aida,docs/figures steps/parsed/chunk_2/cha-cha-cha_aida.json
93f9555f-1215-44e9-87bf-068756520ec6,Alemana Development (R to R Hand Hold),Cha Cha,Newcomer/Bronze,No,,,,,,
79229aa5-5611-4908-976d-fe6c81599e97,Chase,Cha Cha,Newcomer/Bronze,Yes,Chase,Silver,18,0,https://www.dancecentral.info/ballroom/international-style/cha-cha-cha/chase,docs/figures steps/parsed/chunk_2/cha-cha-cha_chase.json
8df6f455-9243-404a-a044-ba1881a64c5b,Close Hip Twist Spiral,Cha Cha,Silver/Gold,No,,,,,,
a9cf1c2f-3f4f-4c8a-8937-4c318fe184d8,Closed Basic (Closed Basic Movement),Cha Cha,Newcomer/Bronze,No,,,,,,
bc656610-2f3e-47c9-b80d-b49d61d302dd,Closed Hip Twist,Cha Cha,Newcomer/Bronze,No,,,,,,
41826717-4549-40a4-84d4-7099918f641d,Closed Hip Twist (Advanced),Cha Cha,Silver/Gold,Yes,Closed Hip Twist (Advanced),Bronze,9,12,https://www.dancecentral.info/ballroom/international-style/cha-cha-cha/closed-hip-twist,docs/figures steps/parsed/chunk_2/cha-cha-cha_closed-hip-twist.json
26055cf4-59b5-43b9-aa54-adac634811f6,Closed Hip Twist (Basic),Cha Cha,Newcomer/Bronze,No,,,,,,
